model,term,estimate,odds_ratio,std.error,statistic,p.value
L1. Covariates,(Intercept),0.4123,1.5104,1.6483,0.2502,0.8025
L1. Covariates,log_gdp_pc,-0.4647,0.6283,0.1903,-2.4423,0.0146
L1. Covariates,health_exp,-0.1677,0.8456,0.0718,-2.3336,0.0196
L1. Covariates,urban_pct,0.0121,1.0122,0.0102,1.1818,0.2373
L1. Covariates,fertility,0.6837,1.9811,0.1305,5.2372,0
L2. + regions,(Intercept),0.4222,1.5253,2.0783,0.2031,0.839
L2. + regions,log_gdp_pc,-0.5947,0.5517,0.2071,-2.872,0.0041
L2. + regions,health_exp,-0.19,0.827,0.0696,-2.7276,0.0064
L2. + regions,urban_pct,0.0198,1.02,0.0102,1.9404,0.0523
L2. + regions,fertility,0.9211,2.512,0.1586,5.8064,0
L2. + regions,region_whoAFRO,-0.7848,0.4562,0.7358,-1.0667,0.2861
L2. + regions,region_whoAMRO,0.4885,1.6299,0.6223,0.785,0.4324
L2. + regions,region_whoEMRO,-0.0692,0.9331,0.6839,-0.1012,0.9194
L2. + regions,region_whoSEARO,0.2427,1.2747,0.7969,0.3046,0.7607
L2. + regions,region_whoWPRO,0.6035,1.8286,0.6484,0.9309,0.3519
L3. + Year FE,(Intercept),-0.4849,0.6158,2.2564,-0.2149,0.8299
L3. + Year FE,log_gdp_pc,-0.5525,0.5755,0.2168,-2.548,0.0108
L3. + Year FE,health_exp,-0.2118,0.8091,0.0709,-2.9868,0.0028
L3. + Year FE,urban_pct,0.0204,1.0206,0.0103,1.9696,0.0489
L3. + Year FE,fertility,1.1175,3.0573,0.1941,5.7562,0
L3. + Year FE,region_whoAFRO,-1.215,0.2967,0.8199,-1.482,0.1383
L3. + Year FE,region_whoAMRO,0.4596,1.5834,0.6606,0.6957,0.4866
L3. + Year FE,region_whoEMRO,-0.2903,0.7481,0.7251,-0.4003,0.6889
L3. + Year FE,region_whoSEARO,0.2493,1.2831,0.8455,0.2949,0.7681
L3. + Year FE,region_whoWPRO,0.485,1.6241,0.687,0.7059,0.4802
L4. + COVID interaction,(Intercept),-0.2688,0.7643,2.3286,-0.1154,0.9081
L4. + COVID interaction,log_gdp_pc,-0.5797,0.5601,0.2274,-2.5497,0.0108
L4. + COVID interaction,post_covid,0.3882,1.4744,1.1193,0.3469,0.7287
L4. + COVID interaction,health_exp,-0.2122,0.8088,0.0714,-2.9721,0.003
L4. + COVID interaction,urban_pct,0.0204,1.0206,0.0103,1.9746,0.0483
L4. + COVID interaction,fertility,1.1107,3.0365,0.1963,5.6576,0
L4. + COVID interaction,region_whoAFRO,-1.1903,0.3041,0.8236,-1.4453,0.1484
L4. + COVID interaction,region_whoAMRO,0.4763,1.61,0.6655,0.7157,0.4742
L4. + COVID interaction,region_whoEMRO,-0.2672,0.7655,0.7304,-0.3658,0.7145
L4. + COVID interaction,region_whoSEARO,0.2554,1.2909,0.8485,0.301,0.7634
L4. + COVID interaction,region_whoWPRO,0.5048,1.6566,0.691,0.7305,0.4651
L4. + COVID interaction,log_gdp_pc:post_covid,0.1054,1.1112,0.1286,0.8197,0.4124
