iso3,intercept_dev,slope_dev,total_slope,total_slope_per_decade,region_who,dtp3_2000,dtp3_2023
NER,-28.116,2.028,2.03,20.303,AFRO,36.333,83.667
SLE,-16.603,1.663,1.665,16.653,AFRO,45,91.333
UGA,-16.256,1.571,1.573,15.728,AFRO,54.667,90.333
GNQ,-50.944,1.476,1.478,14.779,AFRO,37,70.333
TCD,-52.177,1.458,1.46,14.598,AFRO,29.667,65
COG,-23.199,1.436,1.438,14.376,AFRO,35,77.667
SOM,-37.053,1.423,1.425,14.248,EMRO,NA,67.333
NGA,-46.588,1.403,1.405,14.052,AFRO,27,62.333
LBR,-22.23,1.334,1.336,13.357,AFRO,43.667,76.333
IND,-18.755,1.23,1.232,12.325,SEARO,58.667,89.667
GAB,-30.566,1.19,1.192,11.921,AFRO,45,68.333
COD,-19.172,1.117,1.119,11.19,AFRO,32.667,63.333
ETH,-30.357,0.985,0.987,9.871,AFRO,32.333,65.333
PAK,-21.899,0.983,0.985,9.848,EMRO,61,84.667
SEN,-3.164,0.978,0.98,9.798,AFRO,54.667,90
AGO,-37.424,0.96,0.962,9.618,AFRO,40,58.333
TLS,-16.818,0.86,0.862,8.616,SEARO,NA,83
TGO,-4.64,0.854,0.856,8.56,AFRO,57.667,87.667
LAO,-25.878,0.836,0.838,8.377,WPRO,52,69.667
BFA,1.609,0.813,0.815,8.146,AFRO,58.667,91
NRU,-2.966,0.809,0.811,8.109,WPRO,73,98.667
SDN,-4.367,0.751,0.753,7.53,EMRO,62.667,73
KHM,-6.979,0.705,0.707,7.068,WPRO,57.667,84.667
MHL,-13.128,0.7,0.702,7.016,WPRO,55.667,85.667
TUR,-3.782,0.692,0.694,6.94,EURO,83.667,97.667
MLI,-13.423,0.689,0.691,6.907,AFRO,51,75.667
GNB,-7.035,0.685,0.687,6.87,AFRO,53,71.667
IRQ,-15.162,0.677,0.679,6.79,EMRO,NA,87.333
MRT,-8.517,0.623,0.625,6.245,AFRO,71.667,84
NPL,4.448,0.608,0.61,6.098,SEARO,72.667,91.667
KIR,-0.281,0.519,0.521,5.211,WPRO,84,90.333
KEN,0.115,0.511,0.513,5.134,AFRO,82,94
GHA,7.496,0.487,0.489,4.891,AFRO,81.667,97.333
ZAF,-13.429,0.456,0.458,4.58,AFRO,71.333,83.333
NAM,-7.874,0.452,0.454,4.539,AFRO,78,87
ERI,14.486,0.399,0.401,4.008,AFRO,85.667,NA
CIV,-7.457,0.366,0.368,3.685,AFRO,65.333,75
IDN,-8.579,0.366,0.368,3.68,SEARO,73.667,80.333
BDI,16.118,0.338,0.34,3.402,AFRO,80.667,91.333
VUT,-13.994,0.324,0.326,3.258,WPRO,70.333,67.333
GRC,-1.938,0.313,0.315,3.15,EURO,90.667,97.333
TJK,9.039,0.311,0.313,3.126,EURO,84.333,96.667
AFG,-17.405,0.295,0.297,2.974,EMRO,36,57.667
MLT,-4.673,0.281,0.283,2.832,EURO,94.667,98.333
BRN,-2.506,0.271,0.273,2.732,WPRO,96.667,99
CHN,1.994,0.271,0.273,2.725,WPRO,85.667,98
CRI,-2.076,0.232,0.234,2.339,AMRO,91,95.667
NOR,-11.553,0.228,0.23,2.295,EURO,91.333,96.667
CUB,4.932,0.209,0.211,2.112,AMRO,97.333,99
IRL,-13.714,0.192,0.194,1.935,EURO,84.333,93.333
ARE,-5.152,0.182,0.184,1.842,EMRO,94,96
AUT,-17.429,0.18,0.182,1.822,EURO,82.667,85.667
LSO,7.098,0.175,0.177,1.77,AFRO,82.667,92.333
DOM,-3.649,0.171,0.173,1.726,AMRO,77.333,87.333
BGD,12.05,0.154,0.156,1.561,SEARO,83.333,97
ZMB,7.768,0.144,0.146,1.463,AFRO,84.667,91
JPN,-2.141,0.144,0.146,1.462,WPRO,92,98.667
CHE,-11.589,0.143,0.145,1.452,EURO,93,95.667
ISR,-0.72,0.136,0.138,1.378,EURO,91.667,98
SLB,1.804,0.122,0.124,1.244,WPRO,82.667,86.667
PRT,-1.831,0.11,0.112,1.124,EURO,97,99
BLR,8.694,0.105,0.107,1.069,EURO,99,98
ITA,-6.038,0.089,0.091,0.909,EURO,91,94.667
QAT,-3.242,0.081,0.083,0.831,EMRO,89.667,97
HTI,-20.878,0.066,0.068,0.677,AMRO,47.333,50
DNK,-6.535,0.064,0.066,0.656,EURO,97.333,97
BEL,-1.926,0.063,0.065,0.647,EURO,95,98
MWI,13.262,0.06,0.062,0.625,AFRO,76.333,90
BTN,8.998,0.049,0.051,0.513,SEARO,88.667,98.333
AUS,-7.774,0.049,0.051,0.51,WPRO,91.333,94.333
LUX,-4.951,0.04,0.042,0.42,EURO,99,99
GEO,1.982,0.039,0.041,0.414,EURO,83.667,86
BHR,6.245,0.035,0.037,0.374,EMRO,98,98
GBR,-7.081,0.034,0.036,0.361,EURO,91,92.333
OMN,6.277,0.033,0.035,0.354,EMRO,99,99
FJI,9.32,0.033,0.035,0.353,WPRO,91.333,97
GUY,2.455,0.029,0.031,0.311,AMRO,88,98
SLV,7.878,0.027,0.029,0.294,AMRO,90.667,96
MAR,14.223,0.026,0.028,0.284,EMRO,95,97.667
IRN,12.344,0.016,0.018,0.175,EMRO,98,98.667
PLW,-0.322,0.002,0.004,0.044,WPRO,97.667,95.333
TTO,-3.357,-0.003,-0.001,-0.006,AMRO,92.333,94.333
AND,0.448,-0.007,-0.005,-0.048,EURO,97,98.333
CAN,-8.645,-0.01,-0.008,-0.083,AMRO,88.667,92
STP,19.846,-0.02,-0.018,-0.182,AFRO,88.667,92
COL,3.865,-0.027,-0.025,-0.245,AMRO,80,88
COM,-2.168,-0.027,-0.025,-0.255,AFRO,76.333,75
