iso3,dtp3
AFG,60
AGO,66
ALB,97
AND,98
ARE,96
ARG,66
ARM,94
ATG,97
AUS,94
AUT,87
AZE,51
BDI,89
BEL,98
BEN,69
BFA,91
BGD,97
BGR,92
BHR,99
BHS,87
BIH,73
BLR,98
BLZ,85
BOL,67
BRA,90
BRB,85
BRN,99
BTN,99
BWA,95
CAF,40
CAN,92
CHE,95
CHL,96
CHN,96
CIV,79
CMR,75
COD,60
COG,78
COK,86
COL,90
COM,75
CPV,93
CRI,99
CUB,99
CYP,95
CZE,90
DEU,89
DJI,72
DMA,56
DNK,97
DOM,90
DZA,92
ECU,70
EGY,96
ERI,95
ESP,93
EST,84
ETH,70
FIN,91
FJI,97
FRA,96
FSM,79
GAB,70
GBR,92
GEO,88
GHA,95
GIN,60
GMB,84
GNB,74
GNQ,74
GRC,95
GRD,86
GTM,88
GUY,98
HND,73
HRV,93
HTI,54
HUN,99
IDN,83
IND,91
IRL,93
IRN,99
IRQ,91
ISL,92
ISR,98
ITA,95
JAM,99
JOR,96
JPN,98
KAZ,99
KEN,93
KGZ,86
KHM,84
KIR,90
KNA,96
KOR,98
KWT,99
LAO,74
LBN,53
LBR,83
LBY,73
LCA,74
LKA,99
LSO,90
LTU,90
LUX,99
LVA,98
MAR,97
MCO,99
MDA,87
MDG,65
MDV,98
MEX,85
MHL,85
MKD,86
MLI,75
MLT,98
MMR,71
MNE,81
MNG,96
MOZ,70
MRT,90
MUS,96
MWI,91
MYS,95
NAM,83
NER,85
NGA,67
NIU,99
NLD,92
NOR,96
NPL,94
NRU,99
NZL,88
OMN,99
PAK,86
PAN,71
PER,84
PHL,89
PLW,97
PNG,35
POL,95
PRK,99
PRT,99
PRY,71
PSE,88
QAT,95
ROU,79
RUS,97
RWA,94
SAU,97
SDN,51
SEN,92
SGP,98
SLB,84
SLE,91
SLV,96
SMR,91
SOM,69
SRB,93
SSD,73
STP,87
SUR,72
SVK,96
SVN,89
SWE,94
SWZ,85
SYC,97
SYR,66
TCD,67
TGO,90
THA,92
TJK,96
TKM,98
TLS,83
TON,99
TTO,96
TUN,97
TUR,99
TUV,94
TZA,83
UGA,91
UKR,83
URY,95
USA,94
UZB,99
VCT,94
VEN,54
VNM,65
VUT,72
WSM,83
YEM,46
ZAF,79
ZMB,90
ZWE,90
