iso3,y2010,y2023,change
AFG,66,60,-6
AGO,49,66,17
ALB,99,97,-2
AND,99,98,-1
ARE,94,96,2
ARG,94,66,-28
ARM,94,94,0
ATG,98,97,-1
AUS,92,94,2
AUT,86,87,1
AZE,81,51,-30
BDI,96,89,-7
BEL,98,98,0
BEN,76,69,-7
BFA,91,91,0
BGD,94,97,3
BGR,94,92,-2
BHR,99,99,0
BHS,99,87,-12
BIH,89,73,-16
BLR,98,98,0
BLZ,96,85,-11
BOL,91,67,-24
BRA,99,90,-9
BRB,86,85,-1
BRN,95,99,4
BTN,91,99,8
BWA,95,95,0
CAF,45,40,-5
CAN,89,92,3
CHE,95,95,0
CHL,92,96,4
CHN,99,96,-3
CIV,78,79,1
CMR,84,75,-9
COD,60,60,0
COG,76,78,2
COK,99,86,-13
COL,88,90,2
COM,74,75,1
CPV,99,93,-6
CRI,88,99,11
CUB,96,99,3
CYP,99,95,-4
CZE,99,90,-9
DEU,96,89,-7
DJI,88,72,-16
DMA,98,56,-42
DNK,90,97,7
DOM,88,90,2
DZA,95,92,-3
ECU,91,70,-21
EGY,97,96,-1
ERI,95,95,0
ESP,97,93,-4
EST,94,84,-10
ETH,61,70,9
FIN,99,91,-8
FJI,99,97,-2
FRA,99,96,-3
FSM,85,79,-6
GAB,67,70,3
GBR,94,92,-2
GEO,92,88,-4
GHA,94,95,1
GIN,64,60,-4
GMB,97,84,-13
GNB,83,74,-9
GNQ,54,74,20
GRC,99,95,-4
GRD,97,86,-11
GTM,94,88,-6
GUY,95,98,3
HND,97,73,-24
HRV,97,93,-4
HTI,67,54,-13
HUN,99,99,0
IDN,81,83,2
IND,79,91,12
IRL,94,93,-1
IRN,99,99,0
IRQ,74,91,17
ISL,96,92,-4
ISR,95,98,3
ITA,96,95,-1
JAM,94,99,5
JOR,98,96,-2
JPN,97,98,1
KAZ,99,99,0
KEN,90,93,3
KGZ,96,86,-10
KHM,90,84,-6
KIR,91,90,-1
KNA,96,96,0
KOR,94,98,4
KWT,98,99,1
LAO,74,74,0
LBN,82,53,-29
LBR,70,83,13
LBY,98,73,-25
LCA,97,74,-23
LKA,99,99,0
LSO,93,90,-3
LTU,95,90,-5
LUX,99,99,0
LVA,92,98,6
MAR,99,97,-2
MCO,99,99,0
MDA,90,87,-3
MDG,70,65,-5
MDV,96,98,2
MEX,95,85,-10
MHL,94,85,-9
MKD,95,86,-9
MLI,73,75,2
MLT,76,98,22
MMR,90,71,-19
MNE,94,81,-13
MNG,96,96,0
MOZ,74,70,-4
MRT,64,90,26
MUS,99,96,-3
MWI,93,91,-2
MYS,96,95,-1
NAM,83,83,0
NER,70,85,15
NGA,56,67,11
NIU,99,99,0
NLD,97,92,-5
NOR,93,96,3
NPL,93,94,1
NRU,99,99,0
NZL,93,88,-5
OMN,99,99,0
PAK,52,86,34
PAN,94,71,-23
PER,93,84,-9
PHL,88,89,1
PLW,69,97,28
PNG,55,35,-20
POL,99,95,-4
PRK,93,99,6
PRT,98,99,1
PRY,91,71,-20
PSE,99,88,-11
QAT,97,95,-2
ROU,94,79,-15
RUS,97,97,0
RWA,97,94,-3
SAU,98,97,-1
SDN,90,51,-39
SEN,89,92,3
SGP,96,98,2
SLB,83,84,1
SLE,86,91,5
SLV,89,96,7
SMR,90,91,1
SOM,45,69,24
SRB,91,93,2
STP,98,87,-11
SUR,94,72,-22
SVK,99,96,-3
SVN,96,89,-7
SWE,98,94,-4
SWZ,89,85,-4
SYC,99,97,-2
SYR,81,66,-15
TCD,40,67,27
TGO,83,90,7
THA,99,92,-7
TJK,93,96,3
TKM,96,98,2
TLS,72,83,11
TON,99,99,0
TTO,90,96,6
TUN,98,97,-1
TUR,97,99,2
TUV,89,94,5
TZA,91,83,-8
UGA,80,91,11
UKR,52,83,31
URY,95,95,0
USA,95,94,-1
UZB,99,99,0
VCT,99,94,-5
VEN,78,54,-24
VNM,93,65,-28
VUT,77,72,-5
WSM,78,83,5
YEM,76,46,-30
ZAF,77,79,2
ZMB,83,90,7
ZWE,89,90,1
