iso3,y2019,y2021,covid_drop
AFG,65,55,-10
AGO,64,55,-9
ALB,99,98,-1
AND,99,99,0
ARE,99,96,-3
ARG,83,81,-2
ARM,92,93,1
ATG,99,92,-7
AUS,95,95,0
AUT,88,86,-2
AZE,74,49,-25
BDI,93,94,1
BEL,97,98,1
BEN,72,70,-2
BFA,91,91,0
BGD,98,97,-1
BGR,93,89,-4
BHR,99,98,-1
BHS,89,86,-3
BIH,80,76,-4
BLR,98,98,0
BLZ,98,83,-15
BOL,75,70,-5
BRA,70,68,-2
BRB,90,82,-8
BRN,99,99,0
BTN,97,98,1
BWA,95,95,0
CAF,38,35,-3
CAN,91,92,1
CHE,96,96,0
CHL,96,95,-1
CHN,99,99,0
CIV,79,73,-6
CMR,67,71,4
COD,73,65,-8
COG,79,77,-2
COK,98,81,-17
COL,94,87,-7
COM,78,72,-6
CPV,96,93,-3
CRI,95,93,-2
CUB,99,99,0
CYP,96,96,0
CZE,97,94,-3
DEU,91,92,1
DJI,85,59,-26
DMA,99,92,-7
DNK,97,97,0
DOM,89,84,-5
DZA,88,81,-7
ECU,85,72,-13
EGY,95,96,1
ERI,95,95,0
ESP,95,93,-2
EST,91,90,-1
ETH,61,63,2
FIN,91,89,-2
FJI,97,98,1
FRA,95,96,1
FSM,78,72,-6
GAB,70,75,5
GBR,93,93,0
GEO,94,85,-9
GHA,97,98,1
GIN,53,56,3
GMB,88,82,-6
GNB,78,67,-11
GNQ,62,67,5
GRC,99,99,0
GRD,94,77,-17
GTM,88,80,-8
GUY,99,98,-1
HND,88,77,-11
HRV,94,92,-2
HTI,54,48,-6
HUN,99,99,0
IDN,85,67,-18
IND,91,85,-6
IRL,94,94,0
IRN,99,98,-1
IRQ,84,78,-6
ISL,93,92,-1
ISR,98,98,0
ITA,96,94,-2
JAM,96,90,-6
JOR,89,85,-4
JPN,98,99,1
KAZ,97,95,-2
KEN,93,95,2
KGZ,95,89,-6
KHM,88,86,-2
KIR,97,90,-7
KNA,97,96,-1
KOR,98,98,0
KWT,92,94,2
LAO,66,65,-1
LBN,83,67,-16
LBR,71,67,-4
LBY,73,73,0
LCA,92,80,-12
LKA,99,96,-3
LSO,92,95,3
LTU,92,90,-2
LUX,99,99,0
LVA,99,94,-5
MAR,99,98,-1
MCO,99,99,0
MDA,91,87,-4
MDG,69,55,-14
MDV,98,95,-3
MEX,82,78,-4
MHL,79,86,7
MKD,92,81,-11
MLI,77,77,0
MLT,98,99,1
MMR,90,37,-53
MNE,87,83,-4
MNG,98,95,-3
MOZ,85,56,-29
MRT,80,77,-3
MUS,96,95,-1
MWI,95,93,-2
MYS,98,95,-3
NAM,87,94,7
NER,81,82,1
NGA,66,61,-5
NIU,99,99,0
NLD,94,95,1
NOR,97,97,0
NPL,93,91,-2
NRU,96,98,2
NZL,92,90,-2
OMN,99,99,0
PAK,84,83,-1
PAN,88,87,-1
PER,88,82,-6
PHL,84,69,-15
PLW,97,95,-2
PNG,35,32,-3
POL,95,94,-1
PRK,97,99,2
PRT,99,99,0
PRY,86,70,-16
PSE,99,95,-4
QAT,98,98,0
ROU,88,86,-2
RUS,97,97,0
RWA,98,88,-10
SAU,96,97,1
SDN,93,84,-9
SEN,91,85,-6
SGP,97,98,1
SLB,94,87,-7
SLE,95,92,-3
SLV,96,97,1
SMR,88,90,2
SOM,57,62,5
SRB,97,91,-6
SSD,61,69,8
STP,95,97,2
SUR,77,72,-5
SVK,97,97,0
SVN,95,86,-9
SWE,98,98,0
SWZ,90,77,-13
SYC,99,94,-5
SYR,67,61,-6
TCD,53,62,9
TGO,86,87,1
THA,97,92,-5
TJK,97,97,0
TKM,99,97,-2
TLS,83,83,0
TON,99,99,0
TTO,93,94,1
TUN,98,97,-1
TUR,99,95,-4
TUV,92,94,2
TZA,91,86,-5
UGA,93,91,-2
UKR,80,78,-2
URY,94,91,-3
USA,94,94,0
UZB,96,98,2
VCT,97,92,-5
VEN,64,56,-8
VNM,89,83,-6
VUT,90,62,-28
WSM,68,85,17
YEM,60,56,-4
ZAF,85,86,1
ZMB,88,91,3
ZWE,90,88,-2
